,,NR12,NR12,NR12,NR,NR,NR,SP,SP,SP,DP,DP,DP
Inst,Method,F,P,R,F,P,R,F,P,R,F,P,R
VA,rnn,0.805,0.776,0.836,0.552,0.53,0.577,0.542,0.529,0.555,0.613,0.594,0.634
VA,cnn,0.843,0.789,0.905,0.716,0.665,0.776,0.672,0.618,0.739,0.722,0.654,0.806
VA,SuF,0.862,0.837,0.888,0.768,0.748,0.79,0.725,0.716,0.735,0.759,0.73,0.791
VA,SpF,0.818,0.771,0.871,0.711,0.681,0.744,0.686,0.656,0.72,0.727,0.676,0.787
VA,CoF,0.864,0.85,0.879,0.788,0.773,0.805,0.748,0.759,0.739,0.781,0.77,0.794
VC,rnn,0.798,0.737,0.87,0.444,0.403,0.494,0.539,0.486,0.605,0.542,0.498,0.594
VC,cnn,0.713,0.631,0.82,0.534,0.473,0.612,0.557,0.484,0.657,0.58,0.512,0.67
VC,SuF,0.779,0.698,0.88,0.597,0.529,0.686,0.63,0.548,0.744,0.628,0.553,0.726
VC,SpF,0.745,0.656,0.86,0.553,0.484,0.648,0.571,0.478,0.709,0.575,0.496,0.685
VC,CoF,0.78,0.707,0.87,0.638,0.583,0.706,0.651,0.584,0.736,0.655,0.595,0.729
VN1,rnn,0.812,0.835,0.79,0.558,0.583,0.535,0.598,0.597,0.6,0.719,0.718,0.72
VN1,cnn,0.921,0.933,0.91,0.781,0.798,0.765,0.789,0.794,0.784,0.832,0.832,0.833
VN1,SuF,0.835,0.851,0.82,0.707,0.735,0.681,0.727,0.756,0.701,0.718,0.727,0.71
VN1,SpF,0.839,0.887,0.796,0.677,0.731,0.631,0.713,0.744,0.686,0.714,0.738,0.691
VN1,CoF,0.81,0.817,0.802,0.722,0.737,0.707,0.736,0.766,0.71,0.736,0.728,0.745
VN2,rnn,0.858,0.85,0.867,0.546,0.547,0.546,0.601,0.594,0.609,0.713,0.705,0.721
VN2,cnn,0.907,0.901,0.913,0.753,0.748,0.758,0.765,0.741,0.791,0.831,0.814,0.849
VN2,SuF,0.84,0.86,0.82,0.747,0.767,0.729,0.766,0.777,0.755,0.758,0.753,0.763
VN2,SpF,0.841,0.855,0.827,0.715,0.727,0.702,0.722,0.717,0.727,0.727,0.716,0.74
VN2,CoF,0.849,0.873,0.827,0.762,0.79,0.735,0.773,0.799,0.748,0.761,0.752,0.77
means,rnn,0.818,0.8,0.841,0.525,0.516,0.538,0.57,0.552,0.592,0.647,0.629,0.667
means,cnn,0.846,0.814,0.887,0.696,0.671,0.728,0.696,0.659,0.743,0.741,0.703,0.79
means,SuF,0.829,0.812,0.852,0.705,0.695,0.722,0.712,0.699,0.734,0.716,0.691,0.748
means,SpF,0.811,0.792,0.839,0.664,0.656,0.681,0.673,0.649,0.711,0.686,0.657,0.726
means,CoF,0.826,0.812,0.845,0.728,0.721,0.738,0.727,0.727,0.733,0.733,0.711,0.76
means,all,0.826,0.806,0.853,0.663,0.652,0.681,0.676,0.657,0.703,0.705,0.678,0.738
