Condition,Annotator,VA,VC,VN1,VN2,means
NR,a12,0.699,0.426,0.882,0.797,0.701
NR,a13,0.739,0.609,0.63,0.603,0.645
NR,a16,0.776,0.643,0.795,0.834,0.762
NR,a18,0.811,0.652,0.888,0.884,0.809
SP,a12,0.63,0.414,0.814,0.66,0.63
SP,a13,0.605,0.443,0.648,0.714,0.603
SP,a16,0.725,0.53,0.822,0.765,0.711
SP,a18,0.825,0.694,0.9,0.856,0.819
DP,a12,0.714,0.601,0.701,0.862,0.72
DP,a13,0.622,0.303,0.636,0.559,0.53
DP,a16,0.682,0.558,0.806,0.73,0.694
DP,a18,0.722,0.704,0.918,0.925,0.817
all,means,0.713,0.548,0.787,0.766,
NR,means,0.756,0.583,0.799,0.780,
SP,means,0.696,0.520,0.796,0.749,
DP,means,0.685,0.542,0.765,0.769,
